partida_id,rodada,data,hora,mandante,visitante,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante,vencedor,arena,mandante_Placar,visitante_Placar,mandante_Estado,visitante_Estado
5080,10,2015-07-01,21:00,Atlético Mineiro,Coritiba,4-2-3-1,4-2-2-2,L. Culpi,N. da Silveira Júnior,Atlético Mineiro,Estádio Raimundo Sampaio,2,0,MG,PR
5082,10,2015-07-01,22:00,Grêmio,Cruzeiro,4-2-3-1,4-2-3-1,R. Machado Marques,V. Luxemburgo da Silva,Grêmio,Arena do Grêmio,1,0,RS,MG
5081,10,2015-07-01,22:01,Joinville,Flamengo,4-2-3-1,4-4-2,A. Batista,C. Borges dos Santos,Flamengo,Arena Joinville,0,1,SC,RJ
5083,10,2015-07-01,22:01,Athletico Paranaense,São Paulo,4-2-3-1,4-3-1-2,M. Mendes,J. Osorio,Athletico Paranaense,Estádio Joaquim Américo Guimarães,2,1,PR,SP
5085,10,2015-07-02,19:29,Figueirense,Goiás,4-3-1-2,4-3-1-2,A. Fucks,A. César,Figueirense,Orlando Scarpelli,3,1,SC,GO
5084,10,2015-07-02,19:33,Corinthians,Ponte Preta,4-2-3-1,4-2-3-1,A. Bacchi,A. Ferreira,Corinthians,Neo Química Arena,2,0,SP,SP
5086,10,2015-07-02,20:59,Fluminense,Santos,4-2-3-1,4-2-3-1,E. Alves Moreira,M. Fernandes,Fluminense,Maracanã,2,1,RJ,SP
5087,11,2015-07-04,15:01,Coritiba,Joinville,4-4-2,4-2-3-1,N. da Silveira Júnior,A. Batista,-,Couto Pereira,0,0,PR,SC
5089,11,2015-07-04,21:01,Cruzeiro,Athletico Paranaense,4-2-3-1,4-2-3-1,V. Luxemburgo da Silva,M. Mendes,Cruzeiro,Mineirão,2,0,MG,PR
5088,11,2015-07-04,21:03,Chapecoense,Vasco da Gama,4-3-2-1,4-2-3-1,V. Eutrópio,C. Juarez Roth,Chapecoense,Arena Condá,1,0,SC,RJ
5090,11,2015-07-05,11:02,Avaí,Sport,4-1-2-1-2,4-2-3-1,G. Kleina,E. Baptista,-,Ressacada,2,2,SC,PE
5091,11,2015-07-05,15:59,Goiás,Corinthians,4-2-2-2,4-2-3-1,A. César,A. Bacchi,-,Estádio do Governo do Estado de Goiás (Serra Dourada),0,0,GO,SP
5093,11,2015-07-05,16:02,Santos,Grêmio,4-2-3-1,4-2-3-1,M. Fernandes,R. Machado Marques,Grêmio,Estádio Urbano Caldeira,1,3,SP,RS
5092,11,2015-07-05,16:03,São Paulo,Fluminense,4-2-3-1,4-3-2-1,J. Osorio,E. Alves Moreira,-,Morumbi,0,0,SP,RJ
5094,11,2015-07-05,18:28,Ponte Preta,Palmeiras,4-2-3-1,4-2-3-1,A. Ferreira,M. de Oliveira Santos,Palmeiras,Arena Pantanal,0,2,SP,SP
5095,11,2015-07-05,18:29,Flamengo,Figueirense,4-2-3-1,4-4-2,C. Borges dos Santos,A. Fucks,Figueirense,Maracanã,1,2,RJ,SC
5096,11,2015-07-05,18:31,Internacional,Atlético Mineiro,4-2-3-1,4-2-3-1,D. Aguirre Camblor,L. Culpi,Atlético Mineiro,Estádio José Pinheiro Borda,1,3,RS,MG
5098,12,2015-07-08,19:29,Goiás,Santos,4-3-1-2,4-2-3-1,J. Camargo,M. Fernandes,Goiás,Estádio do Governo do Estado de Goiás (Serra Dourada),4,1,GO,SP
5097,12,2015-07-08,19:32,Chapecoense,Grêmio,4-3-2-1,4-2-3-1,V. Eutrópio,R. Machado Marques,Chapecoense,Arena Condá,1,0,SC,RS
5099,12,2015-07-08,19:32,Coritiba,Ponte Preta,4-2-3-1,4-2-3-1,N. da Silveira Júnior,A. Ferreira,-,Couto Pereira,0,0,PR,SP
5101,12,2015-07-08,20:58,Palmeiras,Avaí,4-2-3-1,4-4-2,M. de Oliveira Santos,G. Kleina,Palmeiras,Allianz Parque,3,0,SP,SC
5100,12,2015-07-08,21:02,Figueirense,Joinville,4-3-1-2,4-2-2-2,A. Fucks,A. Batista,Joinville,Orlando Scarpelli,0,2,SC,SC
5102,12,2015-07-08,21:58,Atlético Mineiro,Sport,4-2-3-1,4-2-3-1,L. Culpi,E. Baptista,Atlético Mineiro,Mineirão,2,1,MG,PE
5103,12,2015-07-08,21:59,Internacional,Flamengo,4-2-3-1,4-3-2-1,D. Aguirre Camblor,C. Borges dos Santos,Flamengo,Estádio José Pinheiro Borda,1,2,RS,RJ
5104,12,2015-07-08,22:00,Vasco da Gama,São Paulo,4-1-2-1-2,4-2-3-1,C. Juarez Roth,J. Osorio,São Paulo,Estádio Nacional de Brasília,0,4,RJ,SP
5105,12,2015-07-09,19:29,Corinthians,Athletico Paranaense,4-2-3-1,4-2-3-1,A. Bacchi,M. Mendes,Corinthians,Neo Química Arena,2,0,SP,PR
5106,12,2015-07-09,21:00,Fluminense,Cruzeiro,4-2-3-1,4-2-3-1,E. Alves Moreira,V. Luxemburgo da Silva,Fluminense,Maracanã,1,0,RJ,MG
5107,13,2015-07-11,18:29,Santos,Figueirense,4-2-3-1,4-4-2,D. Silvestre Júnior,A. Fucks,Santos,Estádio Urbano Caldeira,3,0,SP,SC
5108,13,2015-07-11,18:31,Grêmio,Vasco da Gama,4-2-3-1,4-2-3-1,R. Machado Marques,C. Juarez Roth,Grêmio,Arena do Grêmio,2,0,RS,RJ
