partida_id,rodada,clube,chutes,chutes_no_alvo,posse_de_bola,passes,precisao_passes,faltas,cartao_amarelo,cartao_vermelho,impedimentos,escanteios
5067,9,Grêmio,7,0,50.0,406,,16,3,0,3,4
5068,9,Chapecoense,14,0,64.0,433,,7,1,0,2,16
5068,9,Sport,14,0,36.0,265,,16,6,0,1,3
5069,9,Figueirense,6,0,48.0,452,,11,2,0,3,3
5069,9,Corinthians,13,0,52.0,473,,10,0,0,1,7
5070,9,Joinville,7,0,42.0,376,,13,1,0,7,3
5070,9,Atlético Mineiro,13,0,58.0,505,,11,2,0,4,10
5071,9,Palmeiras,13,0,40.0,344,,18,1,0,2,8
5071,9,São Paulo,9,0,60.0,503,,14,3,0,3,2
5072,9,Fluminense,10,5,54.0,443,,12,2,1,1,3
5072,9,Goiás,19,6,46.0,371,,15,2,0,6,13
5073,9,Athletico Paranaense,18,0,48.0,371,,27,2,0,1,5
5073,9,Ponte Preta,14,0,52.0,408,,16,1,0,2,6
5074,9,Cruzeiro,11,0,51.0,373,,15,5,0,3,2
5074,9,Coritiba,12,0,49.0,362,,22,5,0,4,3
5075,9,Vasco da Gama,6,0,32.0,255,,18,4,0,1,2
5075,9,Flamengo,6,0,68.0,535,,10,0,0,7,10
5076,9,Santos,16,0,39.0,324,,12,2,1,3,7
5076,9,Internacional,12,0,61.0,506,,4,3,0,2,8
5077,10,Sport,13,0,40.0,322,,13,2,0,2,6
5077,10,Internacional,12,0,60.0,469,,8,2,1,3,7
5078,10,Avaí,13,0,52.0,404,,11,2,1,1,6
5078,10,Vasco da Gama,13,0,48.0,375,,16,3,1,6,6
5079,10,Chapecoense,8,0,52.0,472,,17,3,0,2,3
5079,10,Palmeiras,16,0,48.0,428,,15,0,0,4,2
5080,10,Coritiba,10,0,40.0,394,,11,5,0,5,4
5080,10,Atlético Mineiro,16,0,60.0,564,,8,3,0,6,3
5082,10,Grêmio,22,0,58.0,478,,21,5,0,1,13
5082,10,Cruzeiro,14,0,42.0,353,,21,6,0,0,2
5081,10,Joinville,8,0,63.0,580,,14,3,0,1,3
5081,10,Flamengo,11,0,37.0,337,,11,2,0,4,3
5083,10,São Paulo,10,0,54.0,501,,8,0,0,3,2
5083,10,Athletico Paranaense,11,0,46.0,432,,17,2,0,1,4
5085,10,Goiás,16,0,54.0,443,,20,2,0,1,4
5085,10,Figueirense,10,0,46.0,395,,17,1,1,1,1
5084,10,Corinthians,17,0,46.0,468,,5,1,0,0,5
5084,10,Ponte Preta,11,0,54.0,522,,12,2,0,2,5
5086,10,Fluminense,8,0,52.0,442,,7,2,0,1,1
5086,10,Santos,9,0,48.0,424,,21,3,0,1,3
5087,11,Joinville,6,0,41.0,333,,17,2,0,2,4
5087,11,Coritiba,12,0,59.0,454,,22,1,0,4,5
5089,11,Cruzeiro,18,0,54.0,424,,10,0,0,1,6
5089,11,Athletico Paranaense,5,0,46.0,370,,18,2,1,1,4
5088,11,Vasco da Gama,7,0,32.0,261,,12,1,2,0,4
5088,11,Chapecoense,19,0,68.0,508,,12,1,0,2,14
5090,11,Sport,11,0,63.0,500,,14,2,0,2,9
5090,11,Avaí,13,0,37.0,293,,16,5,1,4,5
5091,11,Corinthians,14,0,62.0,605,,12,2,0,1,7
5091,11,Goiás,6,0,38.0,382,,12,2,0,3,5
5093,11,Santos,7,0,41.0,462,,13,3,1,0,1
5093,11,Grêmio,17,0,59.0,654,,12,1,0,2,2
5092,11,São Paulo,14,0,60.0,492,,18,1,0,3,7
5092,11,Fluminense,7,0,40.0,333,,16,2,0,2,4
5094,11,Ponte Preta,19,0,53.0,506,,12,3,0,1,1
5094,11,Palmeiras,9,0,47.0,464,,22,3,0,1,5
5095,11,Figueirense,9,0,38.0,346,,20,2,0,3,5
5095,11,Flamengo,12,0,62.0,549,,9,3,0,4,8
5096,11,Atlético Mineiro,19,0,54.0,537,,11,3,0,0,4
5096,11,Internacional,11,0,46.0,452,,5,1,1,5,6
5098,12,Goiás,14,0,41.0,374,,7,0,0,1,7
5098,12,Santos,8,0,59.0,546,,8,3,0,1,5
5097,12,Chapecoense,12,0,41.0,365,,8,1,0,0,5
5097,12,Grêmio,10,0,59.0,529,,7,2,0,3,8
5099,12,Ponte Preta,8,0,48.0,396,,17,6,0,6,2
5099,12,Coritiba,19,0,52.0,422,,18,4,0,1,7
5101,12,Palmeiras,18,0,57.0,430,,12,2,0,2,11
5101,12,Avaí,12,0,43.0,329,,11,6,0,1,2
5100,12,Joinville,11,0,48.0,325,,21,2,0,0,10
5100,12,Figueirense,13,0,52.0,337,,11,1,0,2,7
5102,12,Sport,10,0,46.0,404,,12,2,0,0,5
5102,12,Atlético Mineiro,12,0,54.0,462,,17,2,0,7,9
5103,12,Internacional,9,0,60.0,563,,17,3,0,2,3
5103,12,Flamengo,8,0,40.0,385,,19,2,0,5,2
5104,12,São Paulo,10,0,52.0,507,,10,0,0,4,2
5104,12,Vasco da Gama,14,0,48.0,475,,12,3,0,0,8
5105,12,Corinthians,8,0,47.0,453,,6,1,0,1,3
5105,12,Athletico Paranaense,11,0,53.0,478,,13,2,0,3,8
5106,12,Cruzeiro,8,0,61.0,454,,15,2,0,1,5
5106,12,Fluminense,15,0,39.0,297,,10,2,0,5,6
5107,13,Figueirense,5,0,52.0,419,,12,5,0,1,2
5107,13,Santos,14,0,48.0,391,,12,1,0,2,6
5108,13,Vasco da Gama,7,0,38.0,372,,12,3,0,0,3
5108,13,Grêmio,21,0,62.0,590,,16,1,0,0,6
5109,13,Atlético Mineiro,13,0,56.0,503,,19,3,0,0,4
5109,13,Ponte Preta,11,0,44.0,406,,13,1,0,2,4
5110,13,São Paulo,16,0,53.0,447,,18,1,0,5,2
5110,13,Coritiba,10,0,47.0,397,,14,3,0,3,10
5112,13,Flamengo,16,0,60.0,535,,7,0,0,7,13
5112,13,Corinthians,8,0,40.0,394,,15,2,0,1,1
5111,13,Joinville,8,0,63.0,456,,17,4,0,4,6
5111,13,Internacional,7,0,37.0,283,,19,3,0,3,2
5113,13,Athletico Paranaense,23,0,59.0,456,,12,1,0,1,10
5113,13,Fluminense,9,0,41.0,322,,11,2,0,2,2
5114,13,Goiás,3,0,36.0,315,,13,1,0,1,2
5114,13,Cruzeiro,22,0,64.0,537,,17,2,0,0,11
5115,13,Palmeiras,12,0,41.0,351,,17,1,0,3,4
5115,13,Sport,11,0,59.0,506,,10,2,0,5,6
5116,13,Chapecoense,13,0,61.0,433,,14,2,0,1,7
5116,13,Avaí,14,0,39.0,280,,15,4,0,4,6
5117,14,Internacional,8,0,63.0,540,,18,1,0,1,6
5117,14,Goiás,10,0,37.0,315,,12,1,0,4,5
5118,14,Flamengo,21,0,39.0,323,,12,1,0,1,7
5118,14,Grêmio,6,0,61.0,506,,11,5,0,1,4
5119,14,Corinthians,8,0,44.0,392,,12,1,0,4,2
5119,14,Atlético Mineiro,16,0,56.0,467,,15,1,0,2,6
5120,14,Chapecoense,10,0,44.0,350,,13,3,0,4,1
5120,14,Athletico Paranaense,20,0,56.0,439,,14,2,0,2,7
5121,14,Coritiba,12,0,59.0,523,,18,2,0,0,2
5121,14,Figueirense,9,0,41.0,356,,20,1,0,2,2
5123,14,Vasco da Gama,8,0,42.0,287,,17,6,0,2,2
5123,14,Fluminense,16,0,58.0,375,,15,2,0,0,9
5124,14,Palmeiras,9,0,44.0,301,,24,3,0,3,2
5124,14,Santos,14,0,56.0,374,,10,3,0,3,5
5122,14,Sport,15,0,46.0,408,,9,1,0,4,2
5122,14,São Paulo,7,0,54.0,468,,12,0,2,8,3
5125,14,Avaí,9,0,33.0,263,,16,3,0,0,3
5125,14,Cruzeiro,20,0,67.0,554,,7,1,0,1,6
5126,14,Ponte Preta,8,0,46.0,397,,14,5,0,1,2
5126,14,Joinville,21,0,54.0,451,,11,2,0,1,8
5127,15,Avaí,20,0,47.0,362,,5,3,0,2,7
5127,15,Athletico Paranaense,18,0,53.0,442,,17,3,0,1,2
5128,15,Grêmio,17,0,57.0,582,,6,0,0,7,13
5128,15,Sport,8,0,43.0,462,,8,0,0,0,4
5129,15,Figueirense,8,0,38.0,311,,19,4,0,3,9
5129,15,Atlético Mineiro,15,0,62.0,508,,16,2,0,1,8
5131,15,Joinville,10,0,50.0,482,,12,2,0,2,6
5131,15,Santos,13,0,50.0,481,,4,2,0,7,7
5130,15,Fluminense,12,0,52.0,373,,16,3,1,1,10
5130,15,Chapecoense,9,0,48.0,372,,15,2,0,3,1
5132,15,Internacional,13,0,42.0,315,,19,2,0,3,8
5132,15,Ponte Preta,21,0,58.0,416,,10,2,0,1,13
5135,15,Goiás,14,0,43.0,330,,11,2,0,0,11
5135,15,Flamengo,8,0,57.0,448,,6,1,0,1,4
